2025/09/23 21:44:35 Starting backend API server on port 3001
2025/09/23 21:44:35 Backend API server starting on port 3001
2025/09/23 21:44:35 Also serving frontend static files from /Users/mbengtss/code/src/github.com/cldmnky/summit-connect-stockholm-2025/frontend

 ┌───────────────────────────────────────────────────┐ 
 │         Summit Connect Stockholm 2025 API         │ 
 │                   Fiber v2.52.9                   │ 
 │               http://127.0.0.1:3001               │ 
 │       (bound on host 0.0.0.0 and port 3001)       │ 
 │                                                   │ 
 │ Handlers ............ 12  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID ............. 98726 │ 
 └───────────────────────────────────────────────────┘ 

21:46:20 | 200 |       1.667µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:21 | 200 |     461.042µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:21 | 200 |       5.917µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:21 | 200 |       3.709µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:22 | 200 |       6.083µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:23 | 200 |    1.037834ms | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:23 | 200 |       6.625µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:23 | 200 |       2.084µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:23 | 200 |       396.5µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:23 | 200 |       4.208µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:23 | 200 |       2.708µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:25 | 200 |     360.083µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:25 | 200 |      43.458µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:26 | 200 |     369.417µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:26 | 200 |       4.917µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:26 | 200 |       1.667µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:28 | 200 |     733.667µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:28 | 200 |        7.25µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:28 | 200 |       9.042µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:28 | 200 |     475.041µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:28 | 200 |       5.125µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:28 | 200 |       3.333µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:30 | 200 |     286.666µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:30 | 200 |         3.5µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:31 | 200 |     505.292µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:31 | 200 |       7.333µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:31 | 200 |       3.416µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:32 | 200 |       5.583µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:33 | 200 |         302µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:33 | 200 |       3.542µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:33 | 200 |     294.458µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:33 | 200 |        3.75µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:33 | 200 |       2.875µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:35 | 200 |     341.375µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:35 | 200 |       3.833µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:36 | 200 |       533.5µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:36 | 200 |       6.791µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:36 | 200 |        3.25µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:38 | 200 |      207.75µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:38 | 200 |     887.583µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:38 | 200 |           3µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:38 | 200 |           7µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:38 | 200 |     597.208µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:38 | 200 |       4.584µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:38 | 200 |       4.667µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:40 | 200 |     457.834µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:40 | 200 |     127.416µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:41 | 200 |      337.75µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:41 | 200 |           5µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:41 | 200 |       3.625µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:42 | 200 |       5.958µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:43 | 200 |     1.00675ms | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:43 | 200 |           5µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:43 | 200 |     350.458µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:43 | 200 |       2.875µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:43 | 200 |       1.167µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:45 | 200 |     798.084µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:45 | 200 |       7.167µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:45 | 200 |       2.083µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:45 | 200 |       2.166µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:46 | 200 |     954.167µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:46 | 200 |       6.292µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:46 | 200 |           5µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:48 | 200 |     261.083µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:48 | 200 |         1.5µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:48 | 200 |         666ns | 127.0.0.1 | GET | /datacenters.json | -
21:46:48 | 200 |         625ns | 127.0.0.1 | GET | /datacenters.json | -
21:46:48 | 200 |     485.666µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:48 | 200 |       8.042µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:48 | 200 |       3.833µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:50 | 200 |     749.375µs | 127.0.0.1 | GET | /api/v1/migrate | -
